"Story","Title","Result","Date","Stability","Duration (s)"
"Best Buy Application","Product CRUD Test","ERROR","2023-01-11T19:35:26.936Z[Europe/London]","0.0","12.74"
"Best Buy Application","Store CRUD Test","ERROR","2023-01-11T19:35:40.658Z[Europe/London]","0.0","8.28"
"Testing different request on the best buy application","Check if the best buy application product api can be accessed by GET request","ERROR","2023-01-11T19:35:49.014Z[Europe/London]","0.0","4.11"
"Testing different request on the best buy application","Check if the best buy application product api can be accessed by POST request","ERROR","2023-01-11T19:35:53.218Z[Europe/London]","0.0","4.15"
"Testing different request on the best buy application","Check if the best buy application product api can be accessed by PUT request","ERROR","2023-01-11T19:35:57.439Z[Europe/London]","0.0","4.17"
"Testing different request on the best buy application","Check if the best buy application product api can be accessed by DELETE request","ERROR","2023-01-11T19:36:01.662Z[Europe/London]","0.0","4.13"
"Testing different request on the best buy application","Check if the best buy application store api can be accessed by GET request","ERROR","2023-01-11T19:36:05.866Z[Europe/London]","0.0","4.11"
"Testing different request on the best buy application","Check if the best buy application store api can be accessed by POST request","ERROR","2023-01-11T19:36:10.031Z[Europe/London]","0.0","4.11"
"Testing different request on the best buy application","Check if the best buy application store api can be accessed by PUT request","ERROR","2023-01-11T19:36:14.208Z[Europe/London]","0.0","4.13"
"Testing different request on the best buy application","Check if the best buy application store api can be accessed by DELETE request","ERROR","2023-01-11T19:36:18.404Z[Europe/London]","0.0","4.12"
"Product data driven test","Data driven test for adding multiple product to the application","ERROR","2023-01-11T19:36:31.433Z[Europe/London]","0.0","104.28"
"Store data driven test","Data driven test for adding multiple store to the application","ERROR","2023-01-11T19:36:35.756Z[Europe/London]","0.0","41.22"
"Tags test","Provide a 500 status code when incorrect HTTP method is used to access resource for product api","ERROR","2023-01-11T19:36:35.794Z[Europe/London]","0.0","4.12"
"Tags test","This test will verify if a status code of 200 is returned for GET request for store api","ERROR","2023-01-11T19:36:39.913Z[Europe/London]","0.0","4.08"
"Tags test","This test will verify if a status code of 200 is returned for GET request for product api","ERROR","2023-01-11T19:36:43.993Z[Europe/London]","0.0","4.09"
"Tags test","Provide a 500 status code when incorrect HTTP method is used to access resource for store api","ERROR","2023-01-11T19:36:48.083Z[Europe/London]","0.0","4.1"
"Tags test","This test will provide an error code of 404 when user tries to access an invalid resource for store api","ERROR","2023-01-11T19:36:52.181Z[Europe/London]","0.0","4.11"
"Tags test","This test will provide an error code of 404 when user tries to access an invalid resource for product api","ERROR","2023-01-11T19:36:56.288Z[Europe/London]","0.0","4.12"
